City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,dikhil,11.5,42.1667,22.86,62,87,5.19,DJ,1701548573
165,uliastay,47.7417,96.8444,-12.0,68,77,3.02,MN,1701548574
166,mabaruma,8.2,-59.7833,29.15,60,8,2.84,GY,1701548575
167,henderson,36.0397,-114.9819,18.19,29,0,2.06,US,1701548532
168,brooks,50.5834,-111.8851,2.99,59,13,1.54,CA,1701548575
169,olyokminsk,60.3736,120.4264,-26.86,97,100,1.12,RU,1701548576
170,punta arenas,-53.15,-70.9167,8.06,71,75,8.75,CL,1701548437
171,tyuratam,45.6507,63.3156,6.11,57,99,6.0,KZ,1701548577
172,hilo,19.7297,-155.09,27.01,82,20,3.6,US,1701548577
173,tionk essil,12.7856,-16.5217,25.03,25,100,3.22,SN,1701548578
174,demyansk,57.643,32.466,-12.49,98,96,0.78,RU,1701548480
175,tidjikja,18.5564,-11.4271,27.06,21,91,4.65,MR,1701548543
176,haiku-pauwela,20.9219,-156.3051,26.76,74,40,2.06,US,1701548579
177,miyaly,48.8844,53.7836,4.91,68,100,5.95,KZ,1701548580
178,valentin gomez farias,28.2167,-106.5833,15.07,14,0,0.49,MX,1701548580
179,srivardhan,18.0333,73.0167,24.71,78,6,2.05,IN,1701548581
180,alice springs,-23.7,133.8833,18.75,82,3,0.0,AU,1701548414
181,micheweni,-4.9667,39.8333,26.86,87,44,4.24,TZ,1701548583
182,atafu village,-8.5421,-172.5159,27.13,68,100,1.65,TK,1701548449
183,san antonio de pale,-1.4014,5.6325,26.93,80,87,3.38,GQ,1701548584
184,fale old settlement,-9.3852,-171.2468,27.18,73,100,2.03,TK,1701548584
185,vernon,50.2581,-119.2691,3.12,84,94,0.89,CA,1701548416
186,hauterive,46.0901,3.4459,-0.58,90,11,0.24,FR,1701548585
187,badger,64.8,-147.5333,-20.57,83,40,0.0,US,1701548586
188,kapa'a,22.0752,-159.319,27.28,81,0,2.06,US,1701548586
189,kingston,17.997,-76.7936,30.53,58,20,10.29,JM,1701548357
190,tofol,5.3248,163.0078,28.4,76,96,6.64,FM,1701548588
191,ambon,-3.6954,128.1814,26.08,89,40,1.54,ID,1701548588
